,Data,Time,con_sk
669,28.01.2019,21:00:00,733.0
670,28.01.2019,22:00:00,725.0
671,28.01.2019,23:00:00,698.0
672,29.01.2019,0:00:00,665.0
673,29.01.2019,1:00:00,653.0
674,29.01.2019,2:00:00,576.0
675,29.01.2019,3:00:00,577.0
676,29.01.2019,4:00:00,558.0
677,29.01.2019,5:00:00,573.0
678,29.01.2019,6:00:00,597.0
679,29.01.2019,7:00:00,634.0
680,29.01.2019,8:00:00,735.0
681,29.01.2019,9:00:00,717.0
682,29.01.2019,10:00:00,685.0
683,29.01.2019,11:00:00,701.0
684,29.01.2019,12:00:00,660.0
685,29.01.2019,13:00:00,655.0
686,29.01.2019,14:00:00,657.0
687,29.01.2019,15:00:00,678.0
688,29.01.2019,16:00:00,636.0
689,29.01.2019,17:00:00,639.0
690,29.01.2019,18:00:00,677.0
691,29.01.2019,19:00:00,770.0
692,29.01.2019,20:00:00,808.0
693,29.01.2019,21:00:00,762.0
694,29.01.2019,22:00:00,726.0
695,29.01.2019,23:00:00,754.0
696,30.01.2019,0:00:00,667.0
697,30.01.2019,1:00:00,615.0
698,30.01.2019,2:00:00,567.0
699,30.01.2019,3:00:00,564.0
700,30.01.2019,4:00:00,577.0
701,30.01.2019,5:00:00,584.0
702,30.01.2019,6:00:00,584.0
703,30.01.2019,7:00:00,614.0
704,30.01.2019,8:00:00,702.0
705,30.01.2019,9:00:00,952.0
706,30.01.2019,10:00:00,721.0
707,30.01.2019,11:00:00,740.0
708,30.01.2019,12:00:00,698.0
709,30.01.2019,13:00:00,664.0
710,30.01.2019,14:00:00,715.0
711,30.01.2019,15:00:00,696.0
712,30.01.2019,16:00:00,681.0
713,30.01.2019,17:00:00,721.0
714,30.01.2019,18:00:00,712.0
715,30.01.2019,19:00:00,761.0
716,30.01.2019,20:00:00,784.0
717,30.01.2019,21:00:00,743.0
718,30.01.2019,22:00:00,728.0
719,30.01.2019,23:00:00,690.0
720,31.01.2019,0:00:00,630.0
721,31.01.2019,1:00:00,593.0
722,31.01.2019,2:00:00,574.0
723,31.01.2019,3:00:00,550.0
724,31.01.2019,4:00:00,555.0
725,31.01.2019,5:00:00,562.0
726,31.01.2019,6:00:00,568.0
727,31.01.2019,7:00:00,646.0
728,31.01.2019,8:00:00,716.0
729,31.01.2019,9:00:00,756.0
730,31.01.2019,10:00:00,730.0
731,31.01.2019,11:00:00,712.0
